,Unnamed: 0,BathroomCount,BedroomCount,ConstructionYear,Country,District,Fireplace,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
6,15,4.0,6,1970.0,Belgium,Nivelles,1.0,NON_FLOOD_ZONE,,1.0,2519.0,INSTALLED,425.0,WATERLOO,0.0,4.0,C,1410,5500,10956598,Walloon Brabant,Wallonie,,0.0,GOOD,villa,2519.0,,1.0,5.0,1,residential_monthly_rent
170,314,4.0,6,,Belgium,Brussels,,NON_FLOOD_ZONE,,,,HYPER_EQUIPPED,800.0,Uccle,0.0,4.0,D,1180,12000,10952639,Brussels,Brussels,,,AS_NEW,villa,0.0,1.0,1.0,6.0,1,residential_monthly_rent
388,642,3.0,5,,Belgium,Leuven,1.0,,,,,,210.0,Tervuren,0.0,4.0,C,3080,2750,10947896,Flemish Brabant,Flanders,16.0,0.0,AS_NEW,villa,496.0,0.0,1.0,3.0,1,residential_monthly_rent
493,804,3.0,4,,Belgium,Halle-Vilvoorde,,NON_FLOOD_ZONE,,1.0,680.0,HYPER_EQUIPPED,289.0,Linkebeek,0.0,4.0,D,1630,4500,10945272,Flemish Brabant,Flanders,,,AS_NEW,villa,2500.0,0.0,1.0,3.0,1,residential_monthly_rent
622,995,,1,,Belgium,Philippeville,,,0.0,,,SEMI_EQUIPPED,58.0,Nismes,,2.0,G,5670,39000,10943657,Namur,Wallonie,,1.0,,house,35.0,,,1.0,1,residential_sale
652,1069,1.0,2,,Belgium,Liège,1.0,,,,,HYPER_EQUIPPED,117.0,JUPRELLE,,4.0,A,4458,1305,10942875,Liège,Wallonie,,1.0,AS_NEW,villa,1110.0,,,2.0,1,annuity_without_lump_sum
737,1261,2.0,3,2023.0,Belgium,Halle-Vilvoorde,,,,,,INSTALLED,240.0,Meise,0.0,4.0,A,1860,1950,10940640,Flemish Brabant,Flanders,,,GOOD,house,0.0,0.0,,0.0,1,residential_monthly_rent
812,1356,3.0,4,2010.0,Belgium,Brussels,,,,,,,300.0,Uccle,0.0,4.0,D,1180,4500,10938962,Brussels,Brussels,,,,villa,1500.0,,1.0,3.0,1,residential_monthly_rent
880,1459,1.0,3,,Belgium,Verviers,,,,,,INSTALLED,108.0,Stavelot,0.0,,B,4970,1000,10936617,Liège,Wallonie,11.0,,GOOD,house,520.0,,,1.0,1,residential_monthly_rent
895,1488,1.0,4,,Belgium,Arlon,1.0,,,1.0,1.0,,,Arlon,125.0,2.0,D,6700,1975,10936141,Luxembourg,Wallonie,,3.0,AS_NEW,house,0.0,0.0,1.0,3.0,1,residential_monthly_rent
916,1520,1.0,2,2006.0,Belgium,Leuven,,,,,,,95.0,Bierbeek,70.0,4.0,B,3360,1380,10935645,Flemish Brabant,Flanders,1.0,0.0,AS_NEW,house,0.0,,1.0,1.0,1,residential_monthly_rent
1156,1939,1.0,3,,Belgium,Charleroi,,,,1.0,240.0,,201.0,Charleroi,,3.0,F,6001,690,10928298,Hainaut,Wallonie,,,AS_NEW,house,520.0,0.0,1.0,,1,annuity_without_lump_sum
1406,2352,1.0,3,1789.0,Belgium,Huy,,,,1.0,200.0,USA_INSTALLED,200.0,Strée lez Huy,68.0,2.0,B,4577,1250,10921863,Liège,Wallonie,,,AS_NEW,house,0.0,0.0,1.0,1.0,1,residential_monthly_rent
1501,2483,1.0,3,,Belgium,Arlon,,,,1.0,80.0,,127.0,Arlon,0.0,2.0,,6700,1250,20025816,Luxembourg,Wallonie,,,,house,0.0,0.0,1.0,1.0,1,residential_monthly_rent
1508,2490,2.0,4,2017.0,Belgium,Mechelen,,NON_FLOOD_ZONE,,,,INSTALLED,225.0,Schriek,0.0,,,2223,1400,20025807,Antwerp,Flanders,11.0,,GOOD,house,450.0,,,2.0,1,residential_monthly_rent
1547,2531,1.0,1,1964.0,Belgium,Leuven,,NON_FLOOD_ZONE,,,,INSTALLED,130.0,Tienen,0.0,1.0,D,3300,850,20025767,Flemish Brabant,Flanders,1.0,,AS_NEW,house,0.0,0.0,1.0,1.0,1,residential_monthly_rent
1585,2601,2.0,5,,Belgium,Huy,,NON_FLOOD_ZONE,,1.0,280.0,,196.0,Huy,0.0,2.0,D,4500,1200,20025752,Liège,Wallonie,,,,house,532.0,0.0,1.0,,1,residential_monthly_rent
1616,2632,1.0,4,1959.0,Belgium,Roeselare,,,,,,,282.0,Izegem,0.0,2.0,C,8870,1150,20025710,West Flanders,Flanders,1.0,0.0,GOOD,mansion,0.0,,,2.0,1,residential_monthly_rent
1617,2633,1.0,3,2015.0,Belgium,Nivelles,,NON_FLOOD_ZONE,,1.0,175.0,,125.0,Wavre,0.0,2.0,B,1300,1550,20025709,Walloon Brabant,Wallonie,,1.0,AS_NEW,house,240.0,0.0,1.0,2.0,1,residential_monthly_rent
1628,2644,1.0,3,,Belgium,Halle-Vilvoorde,1.0,,,1.0,500.0,SEMI_EQUIPPED,,Beersel,0.0,4.0,,1653,1350,20025698,Flemish Brabant,Flanders,,,GOOD,house,500.0,0.0,1.0,1.0,1,residential_monthly_rent
1629,2645,1.0,1,,Belgium,Dinant,,,,1.0,50.0,USA_SEMI_EQUIPPED,90.0,Somme-Leuze,0.0,3.0,A,5377,850,20025696,Namur,Wallonie,,1.0,AS_NEW,house,0.0,0.0,,2.0,1,residential_monthly_rent
1675,2713,1.0,2,,Belgium,Charleroi,,,,1.0,1.0,SEMI_EQUIPPED,,Fleurus,0.0,2.0,E,6224,725,20025683,Hainaut,Wallonie,6.0,,,house,0.0,0.0,,1.0,1,residential_monthly_rent
1688,2726,2.0,5,,Belgium,Soignies,,,,1.0,175.0,HYPER_EQUIPPED,235.0,Soignies,0.0,2.0,,7060,1750,20025665,Hainaut,Wallonie,,1.0,,town_house,215.0,0.0,1.0,3.0,1,residential_monthly_rent
1692,2730,1.0,4,,Belgium,Leuven,,,,1.0,100.0,,205.0,Leuven,0.0,2.0,,3000,1750,20025662,Flemish Brabant,Flanders,,1.0,GOOD,house,200.0,0.0,,2.0,1,residential_monthly_rent
1706,2744,1.0,3,1964.0,Belgium,Gent,,POSSIBLE_FLOOD_ZONE,,1.0,163.0,HYPER_EQUIPPED,142.0,Gent,0.0,3.0,B,9031,1250,20025641,East Flanders,Flanders,,,JUST_RENOVATED,house,262.0,0.0,1.0,2.0,1,residential_monthly_rent
1802,2867,1.0,2,,Belgium,Mons,,,,1.0,1.0,INSTALLED,,Audregnies,0.0,4.0,D,7382,950,20025578,Hainaut,Wallonie,,1.0,AS_NEW,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
1873,2960,1.0,3,1960.0,Belgium,Dendermonde,,,,1.0,250.0,,,Buggenhout,0.0,3.0,D,9255,950,20025531,East Flanders,Flanders,,,GOOD,house,450.0,0.0,1.0,1.0,1,residential_monthly_rent
1898,2986,2.0,4,2024.0,Belgium,Halle-Vilvoorde,,,,,,INSTALLED,180.0,Rhode-Saint-Genese,100.0,3.0,,1640,3200,20025501,Flemish Brabant,Flanders,,,,house,0.0,,1.0,3.0,1,residential_monthly_rent
1905,2993,1.0,5,,Belgium,Mons,,NON_FLOOD_ZONE,,1.0,1.0,HYPER_EQUIPPED,,Obourg,0.0,3.0,,7034,1750,20025494,Hainaut,Wallonie,,,AS_NEW,villa,800.0,0.0,1.0,2.0,1,residential_monthly_rent
1958,3059,1.0,2,1908.0,Belgium,Brussels,1.0,NON_FLOOD_ZONE,,1.0,50.0,HYPER_EQUIPPED,,Etterbeek,50.0,,D,1040,1600,20025477,Brussels,Brussels,,1.0,AS_NEW,house,0.0,0.0,1.0,,1,residential_monthly_rent
1960,3061,1.0,3,,Belgium,Leuven,,NON_FLOOD_ZONE,,,,INSTALLED,132.0,Leuven,0.0,2.0,B,3000,1750,20025474,Flemish Brabant,Flanders,6.0,,AS_NEW,house,76.0,0.0,1.0,1.0,1,residential_monthly_rent
1989,3090,1.0,3,,Belgium,Mechelen,,NON_FLOOD_ZONE,,1.0,48.0,HYPER_EQUIPPED,132.0,Duffel,0.0,2.0,,2570,1350,20025439,Antwerp,Flanders,,,AS_NEW,house,180.0,0.0,1.0,,1,residential_monthly_rent
1992,3093,1.0,2,,Belgium,Antwerp,,,,1.0,65.0,INSTALLED,129.0,Borsbeek,0.0,2.0,C,2150,1200,20025436,Antwerp,Flanders,,0.0,,house,0.0,,1.0,2.0,1,residential_monthly_rent
2003,3105,1.0,3,,Belgium,Turnhout,,,,1.0,500.0,INSTALLED,270.0,Arendonk,0.0,4.0,C,2370,1500,20025423,Antwerp,Flanders,,,GOOD,house,770.0,0.0,1.0,2.0,1,residential_monthly_rent
2046,3177,2.0,3,2010.0,Belgium,Gent,,,,1.0,60.0,INSTALLED,200.0,Gent,0.0,3.0,C,9041,990,20025400,East Flanders,Flanders,1.0,2.0,AS_NEW,house,250.0,0.0,1.0,2.0,1,residential_monthly_rent
2061,3192,1.0,3,1970.0,Belgium,Hasselt,,NON_FLOOD_ZONE,,1.0,1.0,INSTALLED,169.0,Nieuwerkerken,0.0,3.0,C,3850,1300,20025378,Limburg,Flanders,,1.0,JUST_RENOVATED,house,487.0,0.0,1.0,2.0,1,residential_monthly_rent
2071,3202,2.0,4,2012.0,Belgium,Antwerp,1.0,NON_FLOOD_ZONE,,1.0,1.0,INSTALLED,350.0,Kontich,0.0,4.0,A,2550,3200,20025363,Antwerp,Flanders,,1.0,AS_NEW,villa,850.0,1.0,1.0,3.0,1,residential_monthly_rent
2076,3207,1.0,4,2019.0,Belgium,Sint-Niklaas,,,,,,INSTALLED,250.0,Melsele,50.0,3.0,A,9120,1500,20025362,East Flanders,Flanders,,1.0,GOOD,house,0.0,,1.0,2.0,1,residential_monthly_rent
2148,3301,2.0,4,2014.0,Belgium,Nivelles,,,,1.0,800.0,HYPER_EQUIPPED,300.0,Walhain,0.0,3.0,A+,1457,2900,20025318,Walloon Brabant,Wallonie,,,AS_NEW,house,1040.0,0.0,1.0,3.0,1,residential_monthly_rent
2361,3591,1.0,5,2006.0,Belgium,Brugge,,NON_FLOOD_ZONE,,,,HYPER_EQUIPPED,220.0,Waardamme,0.0,,A,8020,1250,20025209,West Flanders,Flanders,11.0,,GOOD,house,283.0,,,1.0,1,residential_monthly_rent
2388,3618,1.0,2,1920.0,Belgium,Mons,,,,1.0,16.0,NOT_INSTALLED,89.0,CUESMES,0.0,2.0,E,7033,650,20025174,Hainaut,Wallonie,,1.0,TO_BE_DONE_UP,house,90.0,,,1.0,1,residential_monthly_rent
2389,3619,1.0,3,,Belgium,Brugge,,,,,,,,Torhout,0.0,2.0,B,8820,875,20025177,West Flanders,Flanders,,,AS_NEW,house,0.0,0.0,1.0,1.0,1,residential_monthly_rent
2392,3622,2.0,5,,Belgium,Mons,,,,1.0,1.0,,196.0,Jurbise,0.0,3.0,B,7050,2000,20025170,Hainaut,Wallonie,,,AS_NEW,house,0.0,0.0,,1.0,1,residential_monthly_rent
2470,3767,1.0,3,,Belgium,Brugge,,,,,,INSTALLED,,Brugge,0.0,2.0,C,8000,975,20025136,West Flanders,Flanders,,,GOOD,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
2493,3790,1.0,3,,Belgium,Brugge,,,,,,INSTALLED,,Brugge,0.0,2.0,D,8000,950,20025110,West Flanders,Flanders,,,GOOD,house,0.0,0.0,1.0,3.0,1,residential_monthly_rent
2502,3799,1.0,3,2019.0,Belgium,Dinant,,,,,,HYPER_EQUIPPED,100.0,Anhee,0.0,3.0,,5537,950,20025101,Namur,Wallonie,,0.0,AS_NEW,house,432.0,,1.0,1.0,1,residential_monthly_rent
2507,3804,,4,,Belgium,Huy,,,,1.0,1.0,,,Ouffet,0.0,3.0,B,4590,1050,20025092,Liège,Wallonie,,,AS_NEW,house,0.0,0.0,1.0,,1,residential_monthly_rent
2511,3808,1.0,3,2024.0,Belgium,Brugge,,,,1.0,30.0,HYPER_EQUIPPED,,Zedelgem,0.0,3.0,,8210,1150,20025084,West Flanders,Flanders,,,AS_NEW,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
2575,3935,1.0,3,,Belgium,Kortrijk,,,,,,,,Menen,0.0,,,8930,770,10757765,West Flanders,Flanders,4.0,,GOOD,house,0.0,,1.0,2.0,1,residential_monthly_rent
2623,3995,3.0,4,2024.0,Belgium,Nivelles,,,,1.0,600.0,INSTALLED,280.0,Waterloo,0.0,4.0,,1410,3450,20025008,Walloon Brabant,Wallonie,,,,villa,1500.0,,1.0,3.0,1,residential_monthly_rent
2728,4197,1.0,1,,Belgium,Liège,,,,,,SEMI_EQUIPPED,69.0,JUPILLE-SUR-MEUSE,0.0,4.0,F,4020,650,20024967,Liège,Wallonie,,1.0,GOOD,bungalow,312.0,,1.0,0.0,1,residential_monthly_rent
2738,4207,1.0,4,2010.0,Belgium,Neufchâteau,,NON_FLOOD_ZONE,,1.0,1.0,INSTALLED,,Libramont-Chevigny,0.0,4.0,,6800,1350,20024957,Luxembourg,Wallonie,,,GOOD,house,1500.0,0.0,1.0,2.0,1,residential_monthly_rent
2758,4232,1.0,3,1964.0,Belgium,Liège,,NON_FLOOD_ZONE,,1.0,250.0,INSTALLED,170.0,Embourg,0.0,4.0,C,4053,1250,10909640,Liège,Wallonie,,0.0,,house,500.0,,1.0,0.0,1,residential_monthly_rent
2863,4421,3.0,6,1939.0,Belgium,Brussels,,NON_FLOOD_ZONE,,1.0,80.0,USA_HYPER_EQUIPPED,350.0,Woluwe-Saint-Lambert,0.0,2.0,,1200,4500,20024908,Brussels,Brussels,,,JUST_RENOVATED,house,200.0,0.0,1.0,4.0,1,residential_monthly_rent
2872,4430,1.0,4,2000.0,Belgium,Neufchâteau,,,,1.0,1.0,,160.0,Léglise,0.0,3.0,,6860,950,20024888,Luxembourg,Wallonie,7.0,,GOOD,house,600.0,0.0,1.0,1.0,1,residential_monthly_rent
2912,4485,1.0,5,,Belgium,Verviers,,,,1.0,570.0,HYPER_EQUIPPED,208.0,VERVIERS,150.0,2.0,D,4800,1250,10908143,Liège,Wallonie,,1.0,GOOD,mansion,1031.0,,1.0,2.0,1,residential_monthly_rent
2981,4647,4.0,4,1984.0,Belgium,Halle-Vilvoorde,,NON_FLOOD_ZONE,,1.0,2500.0,HYPER_EQUIPPED,350.0,Kraainem,0.0,4.0,E,1950,4500,20024838,Flemish Brabant,Flanders,,,AS_NEW,villa,0.0,0.0,1.0,3.0,1,residential_monthly_rent
2989,4655,1.0,3,,Belgium,Leuven,,,,,,,,Leuven (Kessel-Lo),0.0,1.0,,3010,1000,20024812,Flemish Brabant,Flanders,,1.0,,town_house,0.0,0.0,,2.0,1,residential_monthly_rent
3000,4666,1.0,3,,Belgium,Gent,,,,,,,,Gent,0.0,4.0,B,9000,945,20024796,East Flanders,Flanders,1.0,0.0,,house,0.0,,,2.0,1,residential_monthly_rent
3002,4668,1.0,4,2007.0,Belgium,Dinant,,NON_FLOOD_ZONE,,1.0,400.0,USA_INSTALLED,161.0,Mohiville,0.0,3.0,B,5361,1100,20024792,Namur,Wallonie,,1.0,GOOD,house,450.0,0.0,1.0,3.0,1,residential_monthly_rent
3060,4820,1.0,4,1980.0,Belgium,Antwerp,1.0,NON_FLOOD_ZONE,,,,INSTALLED,221.0,SCHOTEN,,4.0,,2900,1405,8688290,Antwerp,Flanders,,0.0,,villa,1279.0,,1.0,2.0,1,annuity_without_lump_sum
3061,4821,1.0,3,1974.0,Belgium,Halle-Vilvoorde,1.0,,,,,HYPER_EQUIPPED,102.0,NIEUWENRODE,,4.0,E,1880,600,8688427,Flemish Brabant,Flanders,,0.0,,bungalow,592.0,,1.0,2.0,1,annuity_without_lump_sum
3069,4855,2.0,5,,Belgium,Brussels,,NON_FLOOD_ZONE,,1.0,116.0,INSTALLED,150.0,Watermael-Boitsfort,1.0,2.0,E,1170,2600,20024781,Brussels,Brussels,,2.0,GOOD,house,170.0,0.0,1.0,2.0,1,residential_monthly_rent
3087,4873,1.0,4,,Belgium,Eeklo,,,,,,,,Maldegem,0.0,,A,9990,995,20024754,East Flanders,Flanders,,,,house,0.0,0.0,,2.0,1,residential_monthly_rent
3201,5083,0.0,3,,Belgium,Namur,,,,,,INSTALLED,150.0,OHEY,0.0,4.0,E,5350,975,20024711,Namur,Wallonie,,1.0,JUST_RENOVATED,house,610.0,,,2.0,1,residential_monthly_rent
3223,5106,1.0,3,2022.0,Belgium,Diksmuide,,,,1.0,450.0,,180.0,Houthulst,0.0,3.0,A+,8650,900,20024683,West Flanders,Flanders,1.0,0.0,AS_NEW,house,450.0,,,2.0,1,residential_monthly_rent
3229,5112,2.0,3,1960.0,Belgium,Nivelles,,,,1.0,40.0,HYPER_EQUIPPED,160.0,Waterloo,0.0,2.0,C,1410,1750,20024674,Walloon Brabant,Wallonie,,2.0,AS_NEW,house,150.0,0.0,1.0,3.0,1,residential_monthly_rent
3292,5235,1.0,4,2017.0,Belgium,Turnhout,,NON_FLOOD_ZONE,,,,HYPER_EQUIPPED,176.0,Beerse,0.0,,A+,2340,1300,10749592,Antwerp,Flanders,13.0,,GOOD,house,198.0,,1.0,2.0,1,residential_monthly_rent
3323,5308,,2,,Belgium,Namur,,NON_FLOOD_ZONE,,,,USA_INSTALLED,,Maillen[5330],20.0,2.0,B,5330,900,20024624,Namur,Wallonie,,1.0,,house,100.0,0.0,1.0,1.0,1,residential_monthly_rent
3332,5317,1.0,2,,Belgium,Mechelen,,NON_FLOOD_ZONE,,1.0,350.0,INSTALLED,85.0,Heist-op-den-Berg,0.0,3.0,,2222,975,20024616,Antwerp,Flanders,,,,house,750.0,0.0,1.0,1.0,1,residential_monthly_rent
3359,5345,1.0,3,,Belgium,Hasselt,,,,,,INSTALLED,140.0,SINT-TRUIDEN,0.0,4.0,B,3800,1100,20024585,Limburg,Flanders,,0.0,AS_NEW,villa,0.0,,,1.0,1,residential_monthly_rent
3422,5509,1.0,2,,Belgium,Gent,,,,,,INSTALLED,111.0,HEUSDEN,0.0,3.0,C,9070,850,20024583,East Flanders,Flanders,,0.0,JUST_RENOVATED,house,0.0,,1.0,0.0,1,residential_monthly_rent
3438,5525,2.0,5,2018.0,Belgium,Leuven,,NON_FLOOD_ZONE,,,,HYPER_EQUIPPED,231.0,Bierbeek,0.0,3.0,A,3360,1495,20024565,Flemish Brabant,Flanders,,,AS_NEW,house,0.0,,1.0,2.0,1,residential_monthly_rent
3514,5727,1.0,4,2000.0,Belgium,Halle-Vilvoorde,1.0,,,1.0,400.0,INSTALLED,182.0,Halle,50.0,3.0,B,1502,1400,20024493,Flemish Brabant,Flanders,,,GOOD,house,541.0,0.0,1.0,2.0,1,residential_monthly_rent
3516,5729,1.0,4,,Belgium,Mons,,,,,,INSTALLED,191.0,Jurbise,0.0,,D,7050,1700,20024487,Hainaut,Wallonie,5.0,,,villa,191.0,,,0.0,1,residential_monthly_rent
3644,5969,0.0,3,2020.0,Belgium,Gent,,NON_FLOOD_ZONE,,,,,152.0,Zulte,0.0,,A,9870,1100,20024413,East Flanders,Flanders,11.0,,,house,716.0,,,2.0,1,residential_monthly_rent
3651,5978,1.0,2,1991.0,Belgium,Dendermonde,,,,1.0,690.0,INSTALLED,128.0,Wetteren,0.0,4.0,F,9230,900,20024404,East Flanders,Flanders,,,GOOD,house,818.0,,,2.0,1,residential_monthly_rent
3656,5983,0.0,0,,Belgium,Oostend,,,,,,,,Bredene,,,,8450,12500,20024393,West Flanders,Flanders,,,,mixed_use_building,0.0,,,0.0,1,residential_sale
3657,5984,0.0,0,,Belgium,Oostend,,,,,,,,Bredene,,,,8450,12500,20024392,West Flanders,Flanders,,,,mixed_use_building,0.0,,,0.0,1,residential_sale
3660,5987,1.0,2,,Belgium,Brussels,,,,1.0,52.0,HYPER_EQUIPPED,120.0,Auderghem,0.0,,F,1160,1750,20024378,Brussels,Brussels,11.0,,JUST_RENOVATED,house,130.0,,1.0,0.0,1,residential_monthly_rent
3692,6043,4.0,7,1950.0,Belgium,Brussels,1.0,NON_FLOOD_ZONE,,1.0,400.0,HYPER_EQUIPPED,390.0,Woluwe-Saint-Pierre,200.0,4.0,E,1150,5400,10902187,Brussels,Brussels,,3.0,AS_NEW,villa,500.0,1.0,1.0,5.0,1,residential_monthly_rent
3749,6202,1.0,2,2000.0,Belgium,Leuven,,,,,,INSTALLED,90.0,Leuven,0.0,,E,3000,995,20024337,Flemish Brabant,Flanders,12.0,,JUST_RENOVATED,house,105.0,,,1.0,1,residential_monthly_rent
3779,6232,1.0,4,2012.0,Belgium,Gent,,,,1.0,700.0,INSTALLED,220.0,Nazareth,0.0,3.0,A,9810,1190,20024293,East Flanders,Flanders,,,AS_NEW,house,825.0,0.0,1.0,2.0,1,residential_monthly_rent
3909,6462,1.0,3,2015.0,Belgium,Tielt,,NON_FLOOD_ZONE,,,,,143.0,Tielt (8700),0.0,,B,8700,890,20024222,West Flanders,Flanders,12.0,,GOOD,house,423.0,,,2.0,1,residential_monthly_rent
3915,6468,2.0,4,2024.0,Belgium,Roeselare,,NON_FLOOD_ZONE,,,,,154.0,Roeselare,0.0,,,8800,990,20024214,West Flanders,Flanders,8.0,,GOOD,house,123.0,,,2.0,1,residential_monthly_rent
4018,6679,1.0,3,2007.0,Belgium,Kortrijk,,,,,,,185.0,Kortrijk,0.0,,B,8500,1050,20024170,West Flanders,Flanders,11.0,,GOOD,house,246.0,,,2.0,1,residential_monthly_rent
4046,6711,1.0,2,,Belgium,Hasselt,,,,,,INSTALLED,78.0,Sint-Truiden,0.0,,B,3800,685,20024135,Limburg,Flanders,9.0,,GOOD,house,0.0,,,0.0,1,residential_monthly_rent
4047,6712,1.0,2,1939.0,Belgium,Hasselt,,,,1.0,360.0,INSTALLED,140.0,Gingelom,0.0,,D,3890,750,20024134,Limburg,Flanders,14.0,,GOOD,house,380.0,,1.0,1.0,1,residential_monthly_rent
4066,6738,4.0,6,,Belgium,Nivelles,,NON_FLOOD_ZONE,,1.0,1700.0,HYPER_EQUIPPED,425.0,Waterloo,1.0,4.0,C,1410,5500,10900301,Walloon Brabant,Wallonie,,2.0,AS_NEW,house,2519.0,0.0,1.0,4.0,1,residential_monthly_rent
4144,6902,1.0,3,2017.0,Belgium,Leuven,,NON_FLOOD_ZONE,,1.0,42.0,HYPER_EQUIPPED,140.0,Diest,0.0,,A,3290,1250,20024119,Flemish Brabant,Flanders,14.0,,GOOD,house,192.0,,1.0,2.0,1,residential_monthly_rent
4148,6906,1.0,4,,Belgium,Diksmuide,,NON_FLOOD_ZONE,,,,INSTALLED,,Diksmuide,0.0,,C,8600,885,20024114,West Flanders,Flanders,15.0,,,house,0.0,,,2.0,1,residential_monthly_rent
4151,6909,1.0,2,2024.0,Belgium,Hasselt,,,,,,,91.0,Gingelom,0.0,,,3890,1085,20024111,Limburg,Flanders,8.0,,GOOD,house,296.0,,,1.0,1,residential_monthly_rent
4152,6910,2.0,4,1960.0,Belgium,Brussels,,NON_FLOOD_ZONE,,1.0,50.0,HYPER_EQUIPPED,193.0,Uccle,1.0,3.0,G,1180,2600,20024118,Brussels,Brussels,,2.0,JUST_RENOVATED,house,200.0,0.0,1.0,2.0,1,residential_monthly_rent
4163,6921,1.0,3,,Belgium,Hasselt,,NON_FLOOD_ZONE,,,,,145.0,Duras,0.0,,B,3803,1050,20024100,Limburg,Flanders,11.0,,JUST_RENOVATED,house,460.0,,,0.0,1,residential_monthly_rent
4293,7154,1.0,2,,Belgium,Gent,,NON_FLOOD_ZONE,,1.0,15.0,INSTALLED,85.0,Gent,0.0,2.0,B,9000,900,20024039,East Flanders,Flanders,,,GOOD,house,48.0,0.0,,1.0,1,residential_monthly_rent
4306,7170,2.0,3,1972.0,Belgium,Tongeren,,NON_FLOOD_ZONE,,,,INSTALLED,264.0,Kortessem,0.0,,C,3720,1245,20024023,Limburg,Flanders,26.0,,GOOD,house,1076.0,,,3.0,1,residential_monthly_rent
4312,7176,1.0,4,2023.0,Belgium,Turnhout,,NON_FLOOD_ZONE,,,,HYPER_EQUIPPED,171.0,MINDERHOUT,0.0,3.0,A+,2322,2000,20024014,Antwerp,Flanders,,0.0,,house,0.0,,,2.0,1,residential_monthly_rent
4331,7205,2.0,4,2023.0,Belgium,Halle-Vilvoorde,,,,1.0,1.0,INSTALLED,340.0,Meise,0.0,4.0,A,1860,2200,10898142,Flemish Brabant,Flanders,,,JUST_RENOVATED,exceptional_property,0.0,0.0,1.0,3.0,1,residential_monthly_rent
4334,7210,1.0,3,,Belgium,Roeselare,,,,,,,182.0,IZEGEM,0.0,3.0,A,8870,1225,10898008,West Flanders,Flanders,,,,house,220.0,,,,1,residential_monthly_rent
4401,7369,1.0,2,,Belgium,Brussels,,POSSIBLE_FLOOD_ZONE,,1.0,60.0,INSTALLED,140.0,Etterbeek,10.0,2.0,F,1040,1500,20023980,Brussels,Brussels,,1.0,GOOD,house,0.0,0.0,1.0,1.0,1,residential_monthly_rent
4413,7381,1.0,3,,Belgium,Antwerp,,,,,,INSTALLED,150.0,Antwerpen,0.0,2.0,,2060,1350,20023967,Antwerp,Flanders,,,JUST_RENOVATED,house,0.0,0.0,1.0,1.0,1,residential_monthly_rent
4515,7580,4.0,6,,Belgium,Halle-Vilvoorde,,NON_FLOOD_ZONE,,,,HYPER_EQUIPPED,414.0,Kraainem,0.0,4.0,C,1950,5500,20023907,Flemish Brabant,Flanders,,2.0,AS_NEW,house,1100.0,0.0,1.0,5.0,1,residential_monthly_rent
4587,7699,1.0,2,,Belgium,Namur,,,,,,,,Andenne,0.0,2.0,F,5300,950,20023847,Namur,Wallonie,,,GOOD,town_house,0.0,0.0,,2.0,1,residential_monthly_rent
4686,7907,2.0,4,,Belgium,Gent,,NON_FLOOD_ZONE,,,,,165.0,Sint-Amandsberg,0.0,2.0,B,9040,1385,20023820,East Flanders,Flanders,1.0,0.0,AS_NEW,mansion,86.0,,,2.0,1,residential_monthly_rent
4693,7914,1.0,3,,Belgium,Halle-Vilvoorde,,,,,,,154.0,elewijt,0.0,4.0,B,1982,1400,20023813,Flemish Brabant,Flanders,1.0,1.0,AS_NEW,house,0.0,,1.0,2.0,1,residential_monthly_rent
4695,7916,1.0,2,,Belgium,Gent,,NON_FLOOD_ZONE,,,,INSTALLED,84.0,Gand,0.0,1.0,A+,9000,1850,20023811,East Flanders,Flanders,,1.0,AS_NEW,house,84.0,0.0,1.0,1.0,1,residential_monthly_rent
4754,7980,1.0,3,1860.0,Belgium,Liège,,NON_FLOOD_ZONE,,1.0,1100.0,HYPER_EQUIPPED,200.0,Ans,130.0,2.0,C,4432,1400,10895201,Liège,Wallonie,8.0,1.0,JUST_RENOVATED,exceptional_property,800.0,0.0,1.0,2.0,1,residential_monthly_rent
4779,8026,1.0,1,2020.0,Belgium,Eeklo,,,,,,INSTALLED,55.0,Boekhoute,0.0,,,9961,30,10894761,East Flanders,Flanders,,0.0,AS_NEW,house,55.0,0.0,,1.0,1,residential_monthly_rent
4837,8190,3.0,4,1970.0,Belgium,Nivelles,,NON_FLOOD_ZONE,,1.0,450.0,INSTALLED,236.0,WATERLOO,0.0,4.0,C,1410,2600,20023732,Walloon Brabant,Wallonie,,2.0,AS_NEW,villa,600.0,0.0,1.0,3.0,1,residential_monthly_rent
4928,8399,1.0,3,,Belgium,Nivelles,,,,1.0,150.0,HYPER_EQUIPPED,200.0,La Hulpe,0.0,3.0,B,1310,2000,20023687,Walloon Brabant,Wallonie,,,JUST_RENOVATED,villa,0.0,,1.0,2.0,1,residential_monthly_rent
