,Unnamed: 0,BathroomCount,BedroomCount,ConstructionYear,Country,District,Fireplace,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
26276,42240,1.0,2,,Belgium,Verviers,,,,1.0,650.0,,150.0,Herve,0.0,4.0,C,4650,980,11458129,Liège,Wallonie,,,,house,780.0,0.0,1.0,,1,residential_monthly_rent
26300,42283,1.0,3,,Belgium,Dendermonde,1.0,NON_FLOOD_ZONE,,,,INSTALLED,171.0,Dendermonde,0.0,2.0,C,9200,900,20008219,East Flanders,Flanders,,0.0,GOOD,house,0.0,,,1.0,1,residential_monthly_rent
26326,42309,1.0,3,2012.0,Belgium,Charleroi,,,,1.0,800.0,HYPER_EQUIPPED,153.0,Pont-à-Celles Buzet,0.0,3.0,B,6230,2000,20008187,Hainaut,Wallonie,,1.0,AS_NEW,house,1000.0,,1.0,2.0,1,residential_monthly_rent
26329,42312,,4,,Belgium,Ath,,,,1.0,1.0,INSTALLED,,Belœil,0.0,2.0,,7973,1000,20008182,Hainaut,Wallonie,8.0,1.0,JUST_RENOVATED,house,0.0,0.0,1.0,2.0,1,residential_monthly_rent
26331,42314,2.0,3,1930.0,Belgium,Charleroi,,,,1.0,40.0,HYPER_EQUIPPED,133.0,Charleroi,0.0,2.0,,6060,950,20008185,Hainaut,Wallonie,8.0,2.0,GOOD,house,40.0,0.0,1.0,1.0,1,residential_monthly_rent
26343,42326,1.0,4,1920.0,Belgium,Brussels,,,,,,INSTALLED,250.0,Uccle,0.0,4.0,,1180,2500,20008161,Brussels,Brussels,,1.0,,house,1200.0,,,,1,residential_monthly_rent
26385,42368,1.0,3,,Belgium,Liège,,POSSIBLE_FLOOD_ZONE,,,,HYPER_EQUIPPED,110.0,Trooz,0.0,3.0,B,4870,850,11457974,Liège,Wallonie,,,AS_NEW,house,0.0,0.0,,1.0,1,residential_monthly_rent
26442,42428,1.0,4,1900.0,Belgium,Halle-Vilvoorde,,,,,,INSTALLED,197.0,Sterrebeek,0.0,2.0,C,1933,1600,20008096,Flemish Brabant,Flanders,,,,house,217.0,,1.0,2.0,1,residential_monthly_rent
26514,42506,1.0,2,,Belgium,Ath,,,,1.0,30.0,HYPER_EQUIPPED,159.0,Ath Mainvault,0.0,2.0,B,7812,975,11457737,Hainaut,Wallonie,,,AS_NEW,house,0.0,,1.0,,1,residential_monthly_rent
26640,42648,1.0,2,1937.0,Belgium,Gent,,,,1.0,330.0,INSTALLED,109.0,Deinze,0.0,2.0,E,9800,850,20007976,East Flanders,Flanders,,,GOOD,house,410.0,0.0,1.0,1.0,1,residential_monthly_rent
26684,42695,1.0,3,,Belgium,Kortrijk,,POSSIBLE_FLOOD_ZONE,,,,,,Heule,0.0,,E,8501,750,20007899,West Flanders,Flanders,9.0,,GOOD,house,0.0,,,1.0,1,residential_monthly_rent
26691,42702,0.0,2,,Belgium,Dendermonde,,,,,,,,Sint-Gillis-Dendermonde,0.0,,D,9200,650,20007886,East Flanders,Flanders,2.0,,,house,0.0,,,0.0,1,residential_monthly_rent
26706,42734,2.0,3,1958.0,Belgium,Mechelen,,NON_FLOOD_ZONE,,,,,142.0,Heist-op-den-Berg,0.0,2.0,C,2220,950,11457440,Antwerp,Flanders,,,,house,260.0,,1.0,,1,residential_monthly_rent
26756,42790,,3,1875.0,Belgium,Nivelles,,NON_FLOOD_ZONE,,1.0,525.0,INSTALLED,151.0,Villers-la-Ville,0.0,3.0,E,1495,1400,20007852,Walloon Brabant,Wallonie,,1.0,JUST_RENOVATED,house,840.0,0.0,1.0,2.0,1,residential_monthly_rent
26788,42822,1.0,3,2008.0,Belgium,Tielt,,,,,,,154.0,Pittem,0.0,,B,8740,850,20007796,West Flanders,Flanders,15.0,,,house,0.0,,1.0,1.0,1,residential_monthly_rent
26851,42887,1.0,3,,Belgium,Brugge,,,,,,,,Brugge,0.0,,D,8000,950,20007778,West Flanders,Flanders,12.0,,,house,0.0,,1.0,2.0,1,residential_monthly_rent
26855,42891,1.0,3,2023.0,Belgium,Roeselare,,NON_FLOOD_ZONE,,,,INSTALLED,137.0,ROESELARE,0.0,2.0,A,8800,1000,20007771,West Flanders,Flanders,,0.0,,house,0.0,,,2.0,1,residential_monthly_rent
26857,42893,1.0,3,2023.0,Belgium,Roeselare,,NON_FLOOD_ZONE,,,,INSTALLED,137.0,ROESELARE,0.0,3.0,A,8800,1100,20007770,West Flanders,Flanders,,0.0,,house,0.0,,,2.0,1,residential_monthly_rent
26858,42894,1.0,3,2023.0,Belgium,Roeselare,,NON_FLOOD_ZONE,,,,INSTALLED,137.0,ROESELARE,0.0,3.0,A,8800,1100,20007768,West Flanders,Flanders,,0.0,,house,0.0,,,2.0,1,residential_monthly_rent
26859,42895,1.0,3,2023.0,Belgium,Roeselare,,NON_FLOOD_ZONE,,,,INSTALLED,137.0,ROESELARE,0.0,2.0,A,8800,1000,20007769,West Flanders,Flanders,,0.0,,house,0.0,,,2.0,1,residential_monthly_rent
26867,42904,2.0,2,1951.0,Belgium,Tongeren,,POSSIBLE_FLOOD_ZONE,,,,INSTALLED,120.0,Bilzen,0.0,,C,3740,1150,20007747,Limburg,Flanders,12.0,,GOOD,house,280.0,,,0.0,1,residential_monthly_rent
26879,42916,1.0,3,,Belgium,Roeselare,,NON_FLOOD_ZONE,,,,,147.0,Lichtervelde,0.0,,D,8810,800,20007725,West Flanders,Flanders,10.0,,GOOD,house,0.0,,,1.0,1,residential_monthly_rent
26880,42917,1.0,2,,Belgium,Eeklo,,,,,,,102.0,Eeklo,0.0,,C,9900,750,20007724,East Flanders,Flanders,5.0,,GOOD,house,0.0,,,0.0,1,residential_monthly_rent
26940,42986,1.0,3,1966.0,Belgium,Nivelles,,,,,,SEMI_EQUIPPED,129.0,OTTIGNIES,30.0,3.0,E,1340,1290,11457232,Walloon Brabant,Wallonie,,0.0,GOOD,house,618.0,,,2.0,1,residential_monthly_rent
26978,43027,1.0,1,,Belgium,Hasselt,,NON_FLOOD_ZONE,,,,INSTALLED,71.0,Hasselt,0.0,2.0,C,3500,925,20007662,Limburg,Flanders,,1.0,GOOD,town_house,79.0,0.0,1.0,2.0,1,residential_monthly_rent
27038,43089,2.0,4,,Belgium,Brussels,,,,1.0,135.0,INSTALLED,200.0,Uccle,0.0,2.0,,1180,2700,11457174,Brussels,Brussels,,,,house,250.0,,,3.0,1,residential_monthly_rent
27072,43135,,3,,Belgium,Verviers,,,,,,HYPER_EQUIPPED,,St-Vith,0.0,3.0,,4780,850,20007586,Liège,Wallonie,,,JUST_RENOVATED,country_cottage,1480.0,0.0,,,1,residential_monthly_rent
27074,43137,2.0,4,1930.0,Belgium,Halle-Vilvoorde,,NON_FLOOD_ZONE,,,,INSTALLED,145.0,Ruisbroek,0.0,2.0,D,1601,1650,20007584,Flemish Brabant,Flanders,4.0,0.0,GOOD,house,0.0,0.0,1.0,3.0,1,residential_monthly_rent
27106,43169,2.0,3,2024.0,Belgium,Nivelles,,NON_FLOOD_ZONE,,1.0,55.0,HYPER_EQUIPPED,150.0,Nivelles,0.0,2.0,A,1400,1600,20007544,Walloon Brabant,Wallonie,,1.0,GOOD,house,170.0,0.0,1.0,2.0,1,residential_monthly_rent
27111,43174,0.0,1,,Belgium,Brugge,,,,,,,48.0,Zeebrugge,75.0,4.0,B,8380,675,20007538,West Flanders,Flanders,1.0,0.0,,house,0.0,,,0.0,1,residential_monthly_rent
27141,43204,1.0,3,2024.0,Belgium,Kortrijk,,NON_FLOOD_ZONE,,1.0,40.0,INSTALLED,165.0,Kortrijk,0.0,2.0,A,8500,1100,11457032,West Flanders,Flanders,,,AS_NEW,house,205.0,0.0,1.0,2.0,1,residential_monthly_rent
27183,43248,1.0,4,,Belgium,Antwerp,1.0,NON_FLOOD_ZONE,,1.0,192.0,INSTALLED,,Schelle,0.0,2.0,,2627,1400,11456943,Antwerp,Flanders,,,JUST_RENOVATED,house,300.0,0.0,,2.0,1,residential_monthly_rent
27206,43273,2.0,4,2024.0,Belgium,Antwerp,,NON_FLOOD_ZONE,,1.0,110.0,INSTALLED,181.0,WIJNEGEM,0.0,2.0,A,2110,1950,20007481,Antwerp,Flanders,,0.0,,house,2198.0,,1.0,2.0,1,residential_monthly_rent
27210,43277,1.0,5,1963.0,Belgium,Brussels,,NON_FLOOD_ZONE,,1.0,250.0,HYPER_EQUIPPED,280.0,WOLUWE-SAINT-PIERRE,0.0,4.0,G,1150,3200,20007478,Brussels,Brussels,,1.0,,house,0.0,,1.0,3.0,1,residential_monthly_rent
27212,43279,1.0,4,1955.0,Belgium,Brussels,,,,1.0,50.0,USA_HYPER_EQUIPPED,150.0,WATERMAEL-BOITSFORT,0.0,2.0,E,1170,2500,20007468,Brussels,Brussels,,0.0,GOOD,house,0.0,,1.0,1.0,1,residential_monthly_rent
